paper_id,title,publication_year,embedding_index
https://openalex.org/W2116341502,The Graph Neural Network Model,2008,0
https://openalex.org/W2907492528,A Comprehensive Survey on Graph Neural Networks,2020,1
https://openalex.org/W3152893301,Graph neural networks: A review of methods and applications,2020,2
https://openalex.org/W4294558607,Targeted Branching for the Maximum Independent Set Problem Using Graph Neural Networks,2024,3
https://openalex.org/W4210257598,A Comprehensive Survey on Graph Neural Networks,2020,4
https://openalex.org/W2914721378,Graph Neural Networks for Social Recommendation,2019,5
https://openalex.org/W2965857891,Heterogeneous Graph Neural Network,2019,6
https://openalex.org/W3080253043,Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks,2020,7
https://openalex.org/W2899457523,Session-Based Recommendation with Graph Neural Networks,2019,8
https://openalex.org/W2905224888,Graph Neural Networks: A Review of Methods and Applications,2018,9
https://openalex.org/W3123909522,Graph neural network for traffic forecasting: A survey,2022,10
https://openalex.org/W3097300053,Graph Neural Networks in Recommender Systems: A Survey,2022,11
https://openalex.org/W2962810718,Weisfeiler and Leman Go Neural: Higher-Order Graph Neural Networks,2019,12
https://openalex.org/W3096561213,GraphDTA: predicting drug–target binding affinity with graph neural networks,2020,13
https://openalex.org/W2163605009,ImageNet classification with deep convolutional neural networks,2017,14
https://openalex.org/W3169450514,Graph Neural Network-Based Anomaly Detection in Multivariate Time Series,2021,15
https://openalex.org/W4225405705,E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials,2022,16
https://openalex.org/W4310273071,Graph neural networks for materials science and chemistry,2022,17
https://openalex.org/W3004507689,MAGNN: Metapath Aggregated Graph Neural Network for Heterogeneous Graph Embedding,2020,18
https://openalex.org/W2948246283,Skeleton-Based Action Recognition With Directed Graph Neural Networks,2019,19
https://openalex.org/W4214868967,Molecular contrastive learning of representations via graph neural networks,2022,20
https://openalex.org/W3034681945,Point-GNN: Graph Neural Network for 3D Object Detection in a Point Cloud,2020,21
https://openalex.org/W3024961463,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,2020,22
https://openalex.org/W2998496395,Measuring and Relieving the Over-Smoothing Problem for Graph Neural Networks from the Topological View,2020,23
https://openalex.org/W2972317931,GNNExplainer: Generating Explanations for Graph Neural Networks,2019,24
https://openalex.org/W3174022889,Spatial-Temporal Fusion Graph Neural Networks for Traffic Flow Forecasting,2021,25
https://openalex.org/W3081203761,Graph Structure Learning for Robust Graph Neural Networks,2020,26
https://openalex.org/W4315977496,"A Survey of Graph Neural Networks for Recommender Systems: Challenges, Methods, and Directions",2023,27
https://openalex.org/W4392553889,Graph neural networks,2024,28
https://openalex.org/W3212512279,Atomistic Line Graph Neural Network for improved materials property predictions,2021,29
https://openalex.org/W3042770487,Towards Deeper Graph Neural Networks,2020,30
https://openalex.org/W3199008037,BrainGNN: Interpretable Brain Graph Neural Network for fMRI Analysis,2021,31
https://openalex.org/W2112090702,Collective dynamics of ‘small-world’ networks,1998,32
https://openalex.org/W3116637551,Explainability in Graph Neural Networks: A Taxonomic Survey,2022,33
https://openalex.org/W3178835722,Sequential Recommendation with Graph Neural Networks,2021,34
https://openalex.org/W2112796928,Gradient-based learning applied to document recognition,1998,35
https://openalex.org/W2912636151,Graph Neural Networks with Convolutional ARMA Filters,2021,36
https://openalex.org/W4297733535,Graph Attention Networks,2017,37
https://openalex.org/W2963911286,Knowledge-aware Graph Neural Networks with Label Smoothness Regularization for Recommender Systems,2019,38
https://openalex.org/W2776622059,3D Graph Neural Networks for RGBD Semantic Segmentation,2017,39
https://openalex.org/W2807021761,Graph Convolutional Neural Networks for Web-Scale Recommender Systems,2018,40
https://openalex.org/W2770468159,Few-Shot Learning with Graph Neural Networks,2017,41
https://openalex.org/W3110901318,A compact review of molecular property prediction with graph neural networks,2020,42
https://openalex.org/W3080555959,"Deep Graph Library: A Graph-Centric, Highly-Performant Package for Graph Neural Networks",2019,43
https://openalex.org/W3012562343,Traffic Flow Prediction via Spatial Temporal Graph Neural Network,2020,44
https://openalex.org/W2943605315,Edge-Labeling Graph Neural Network for Few-Shot Learning,2019,45
https://openalex.org/W2894175828,How Powerful are Graph Neural Networks?,2018,46
https://openalex.org/W2970119293,GNNExplainer: Generating Explanations for Graph Neural Networks.,2019,47
https://openalex.org/W3188579603,Graph Neural Networks and Their Current Applications in Bioinformatics,2021,48
https://openalex.org/W4200473862,The emerging graph neural networks for intelligent fault diagnostics and prognostics: A guideline and a benchmark study,2021,49
https://openalex.org/W3169752883,Graph Neural Networks in Network Neuroscience,2022,50
https://openalex.org/W3068123808,Enhancing Graph Neural Network-based Fraud Detectors against Camouflaged Fraudsters,2020,51
https://openalex.org/W3034329572,Global Context Enhanced Graph Neural Networks for Session-based Recommendation,2020,52
https://openalex.org/W3035739162,Data Augmentation for Graph Neural Networks,2021,53
https://openalex.org/W3039500550,Scaling Graph Neural Networks with Approximate PageRank,2020,54
https://openalex.org/W3183845133,A Review of Graph Neural Networks and Their Applications in Power Systems,2022,55
https://openalex.org/W2766856748,Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties,2018,56
